show_id,type,release_year,genres,director,cast
s281,Movie,2018,"Drama, International, Romance",Vikram Sirikonda,Ravi Teja
s282,TV Show,2014,Kids,,Jennifer Hale
s283,TV Show,2012,"Comedy, Documentary, Unscripted",,Richard Hammond
s284,Movie,2002,"Comedy, Drama, Romance",Maria Ripoll,Héctor Elizondo
s285,Movie,1960,"Horror, Suspense",Bert I. Gordon,Richard Carlson
s286,TV Show,2009,"Animation, Anime, Drama",,Rie Kugimiya
s288,TV Show,2013,Documentary,,Richard Hammond
s289,TV Show,2015,Documentary,,Richard Hammond
s290,TV Show,2013,Unscripted,,Jeremy Clarkson
s291,TV Show,2015,TV Shows,,Richard Hammond
s292,TV Show,2014,Documentary,,Richard Hammond
s293,TV Show,2017,Special Interest,,William Fichtner
s294,TV Show,2019,TV Shows,,Babs Olusanmokun
s295,Movie,1934,Drama,Edward Sloman,Frank Morgan
s296,Movie,2019,"Arts, Entertainment, and Culture, Comedy, Special Interest",Tone Bell,Tone Bell
s297,Movie,2012,"Action, Adventure",Stuart Beattie,Caitlin Stasey
s298,TV Show,2020,"Arts, Entertainment, and Culture",,Tommy Little
s300,Movie,2009,"Arts, Entertainment, and Culture, Comedy, Special Interest",Manny Rodriguez,Tom Wilson
s301,TV Show,2020,"Comedy, Talk Show and Variety",,Tom Walker
s302,TV Show,2019,"Animation, Kids",,Kevin Charles
s303,Movie,2015,"Action, Drama, Kids",Jo Kastner,Joel Courtney
s305,Movie,2011,"Arts, Entertainment, and Culture, Comedy, Special Interest",Rob Zombie,Tom Papa
s308,Movie,2012,"Arts, Entertainment, and Culture, Comedy, Special Interest",Tom Green,Tom Green
s309,TV Show,2020,TV Shows,,Tom Gleeson
s310,TV Show,2019,"Action, Drama, Suspense",,John Krasinski
s312,TV Show,2018,"Fantasy, Horror, International",,Ami Tomite
s313,TV Show,2018,"Drama, International",,Asami Mizukawa
s314,TV Show,2019,"Drama, Romance",,Aya Asahina
s315,Movie,2015,Comedy,Roberto Ángel Salcedo,Fausto Mata
s319,Movie,2021,"Drama, Romance",Manu Boyer,Dawn Olivieri
s320,TV Show,1961,TV Shows,,Bud Collyer
s321,Movie,2019,"Drama, International",Ra Chezhiyan,Santhosh Sreeram
s322,Movie,1955,"Drama, Suspense",Alfred Hitchcock,Cary Grant
