,show_id,type,director,release_year,duration,rating,genre
233,s288,TV Show,,2013,1.0,TV-PG,Documentary
234,s289,TV Show,,2015,1.0,TV-PG,Documentary
235,s290,TV Show,,2013,1.0,TV-PG,Unscripted
236,s291,TV Show,,2015,1.0,TV-14,TV Shows
237,s292,TV Show,,2014,1.0,TV-PG,Documentary
238,s293,TV Show,,2017,1.0,TV-14,Special Interest
239,s294,TV Show,,2019,1.0,18+,TV Shows
240,s295,Movie,Edward Sloman,1934,84.0,18+,Drama
241,s296,Movie,Tone Bell,2019,71.0,18+,Arts
242,s297,Movie,Stuart Beattie,2012,104.0,R,Action
243,s298,TV Show,,2020,1.0,16+,Arts
244,s299,TV Show,,2019,2.0,G,Animation
245,s300,Movie,Manny Rodriguez,2009,65.0,18+,Arts
246,s301,TV Show,,2020,1.0,16+,Comedy
247,s302,TV Show,,2019,4.0,G,Animation
248,s303,Movie,Jo Kastner,2015,91.0,PG-13,Action
249,s305,Movie,Rob Zombie,2011,57.0,13+,Arts
250,s307,Movie,,2007,42.0,NR,Music Videos and Concerts
251,s308,Movie,Tom Green,2012,55.0,18+,Arts
252,s309,TV Show,,2020,1.0,16+,TV Shows
253,s310,TV Show,,2019,2.0,16+,Action
254,s311,Movie,Robert Stevenson,1940,81.0,G,Drama
255,s312,TV Show,,2018,1.0,18+,Fantasy
256,s313,TV Show,,2018,1.0,13+,Drama
257,s314,TV Show,,2019,1.0,13+,Drama
258,s315,Movie,Roberto Ángel Salcedo,2015,100.0,13+,Comedy
259,s316,TV Show,,2005,2.0,G,Animation
260,s319,Movie,Manu Boyer,2021,95.0,16+,Drama
261,s320,TV Show,,1961,1.0,TV-G,TV Shows
262,s321,Movie,Ra Chezhiyan,2019,95.0,G,Drama
263,s322,Movie,Alfred Hitchcock,1955,106.0,PG,Drama
264,s323,Movie,Jonathan Miller,2020,57.0,18+,Arts
265,s325,Movie,Tim Bell,2012,52.0,7+,Documentary
266,s326,Movie,Fro Rojas,2013,87.0,13+,Kids
267,s327,TV Show,,2020,2.0,G,Animation
268,s328,TV Show,,2019,2.0,18+,Drama
269,s329,TV Show,,2011,5.0,G,Animation
270,s330,TV Show,,2014,1.0,TV-PG,Special Interest
271,s331,TV Show,,2020,1.0,13+,Comedy
272,s332,TV Show,,2020,1.0,13+,Comedy
273,s334,Movie,Sam Newfield,1936,54.0,18+,Western
274,s335,Movie,Frank McDonald,1944,66.0,16+,Action
275,s337,Movie,Michael Petroni,2003,96.0,R,Drama
276,s338,Movie,,2007,43.0,NR,Music Videos and Concerts
277,s339,Movie,Ali Abbas Zafar,2017,159.0,13+,Action
278,s340,Movie,Aubrey Scotto,1936,67.0,G,Drama
279,s341,Movie,Albert Pyun,2001,92.0,R,Action
280,s342,Movie,Kevin Tenney,2000,94.0,R,Action
281,s344,TV Show,,2018,4.0,G,Kids
282,s345,Movie,Jean-Pierre Krief,2013,132.0,13+,Documentary
283,s346,Movie,J.S. Cardone,1985,101.0,R,Drama
284,s347,Movie,Richard Rush,1967,89.0,7+,Action
285,s348,Movie,Vijay Krishna Acharya,2018,164.0,16+,Action
286,s349,Movie,Rajesh Mohanan Nair,2019,152.0,NR,Action
287,s350,TV Show,,2012,2.0,TV-MA,Comedy
288,s351,Movie,Martha Coolidge,1995,116.0,13+,Adventure
289,s352,Movie,Charles Walters,1951,90.0,13+,Comedy
290,s353,Movie,Robert Florey,1932,73.0,NR,Drama
291,s354,Movie,Gordon Parks Jr.,1974,95.0,PG,Action
292,s355,Movie,Kyle Clark,2021,57.0,G,Documentary
293,s360,TV Show,,2019,1.0,TV-Y7,Animation
294,s361,TV Show,,2003,7.0,TV-Y,Kids
295,s362,TV Show,,2015,1.0,13+,Documentary
296,s363,TV Show,,2019,1.0,13+,Documentary
297,s364,TV Show,,2019,1.0,16+,Documentary
298,s365,Movie,Lance Mungia,2019,115.0,13+,Documentary
299,s366,Movie,Gil Junger,2020,91.0,PG,Comedy
300,s367,Movie,Gil Junger,2020,91.0,PG,Comedy
301,s368,Movie,Susanna Bier,2007,118.0,R,Drama
302,s369,Movie,Erle C. Kenton,1941,71.0,13+,Arts
303,s370,Movie,William Wyler,1936,93.0,13+,Drama
304,s371,TV Show,,2021,1.0,TV-14,Drama
305,s372,TV Show,,2018,1.0,16+,Drama
306,s373,Movie,Isao Yukisada,2020,136.0,13+,Drama
307,s374,Movie,Ralph Ziman,2001,99.0,13+,Drama
308,s375,Movie,Aidan Belizaire,2013,96.0,16+,Comedy
309,s376,Movie,Ted Tetzlaff,1959,92.0,13+,Action
310,s377,Movie,Alexandre Moors,2018,95.0,R,Drama
311,s378,TV Show,,1997,2.0,TV-Y,Kids
312,s379,Movie,Mark Knight,2012,60.0,G,Special Interest
313,s380,Movie,Mark Knight,2012,60.0,G,Special Interest
314,s381,Movie,Mark Knight,2012,60.0,G,Documentary
315,s382,Movie,Mark Knight,2017,66.0,G,Music Videos and Concerts
316,s383,TV Show,,2014,1.0,TV-14,Special Interest
317,s384,Movie,Russell Holt,2004,110.0,PG,Drama
318,s386,Movie,"Angelo J. Guglielmo,  Jr.",2012,65.0,16+,Documentary
319,s387,Movie,George Archainbaud,1943,87.0,NR,Western
320,s388,Movie,Tom Harper,2015,99.0,PG-13,Horror
321,s389,TV Show,,2020,1.0,13+,Drama
322,s390,TV Show,,2018,1.0,13+,Horror
323,s391,Movie,Stephen Cone,2012,96.0,13+,Drama
324,s392,Movie,David Mamet,1999,104.0,G,Drama
325,s393,TV Show,,2020,1.0,16+,Drama
326,s394,Movie,John Zaritsky,2007,91.0,13+,Documentary
327,s395,Movie,Robin Hardy,1975,88.0,R,Horror
328,s396,TV Show,,2020,1.0,18+,Drama
329,s397,Movie,Martin R Smith,2014,80.0,16+,Documentary
330,s398,Movie,Robert Child,2011,61.0,13+,Documentary
331,s399,Movie,Robert Luketic,2019,91.0,R,Comedy
332,s400,Movie,King Vidor,1935,79.0,13+,Drama
333,s402,TV Show,,2021,1.0,16+,Drama
334,s403,Movie,Andrew Patterson,2020,91.0,PG-13,Drama
335,s404,TV Show,,2019,1.0,13+,Drama
336,s405,TV Show,,2021,1.0,TV-MA,Drama
337,s406,Movie,William Nigh,1943,62.0,G,Drama
338,s407,Movie,Loki Mulholland,2017,85.0,13+,Documentary
339,s408,TV Show,,2015,1.0,TV-14,TV Shows
340,s409,Movie,Joanne Hock,2015,99.0,PG,Drama
341,s410,TV Show,,2012,1.0,13+,Documentary
342,s411,TV Show,,2020,1.0,18+,Drama
343,s412,TV Show,,2018,3.0,NR,Drama
344,s413,Movie,"Terry L. Noss, Richard Rich",2001,75.0,G,Animation
345,s414,Movie,Stephan Schultze,2018,110.0,13+,Drama
346,s415,Movie,Martin Krejcí,2020,89.0,PG-13,Action
347,s416,TV Show,,2005,1.0,16+,TV Shows
348,s417,TV Show,,2017,1.0,16+,Drama
349,s418,TV Show,,1999,1.0,G,TV Shows
350,s419,TV Show,,2014,2.0,16+,Drama
351,s420,TV Show,,2019,2.0,18+,Action
352,s421,TV Show,,2019,1.0,16+,Special Interest
353,s422,TV Show,,2020,1.0,16+,Documentary
354,s423,TV Show,,2018,1.0,TV-PG,Documentary
355,s424,TV Show,,2011,1.0,13+,Documentary
356,s425,Movie,Roger Corman,1963,83.0,13+,Drama
357,s426,Movie,Pascal Laugier,2012,106.0,R,Horror
358,s427,Movie,Wei-Hao Cheng,2017,107.0,16+,Horror
359,s428,Movie,"Jordan Leondopoulos, John C. Broderick, John Shade",1969,91.0,R,Drama
360,s429,Movie,Swami Tadatmananda,2018,75.0,7+,Documentary
361,s430,TV Show,,2005,1.0,13+,Drama
362,s431,Movie,"Matt Servo, Troy McDonald, Laurel Dalgleish, Brett Jubinville",2019,44.0,G,Kids
363,s432,Movie,Eric Bilitch,2015,110.0,18+,Drama
364,s433,Movie,Tony Waters,2011,45.0,13+,Documentary
365,s434,Movie,Robin Parsons,2011,54.0,13+,Documentary
366,s435,TV Show,,2016,1.0,13+,Documentary
367,s436,Movie,James Melkonian,1994,91.0,R,Comedy
368,s437,TV Show,,2019,5.0,G,Kids
369,s438,Movie,David Jackson,2015,91.0,PG,Comedy
370,s439,Movie,Evan Oppenheimer,2014,94.0,13+,Drama
371,s440,Movie,André Pellenz,2020,87.0,13+,Comedy
372,s441,Movie,B. Harrison Smith,2020,94.0,18+,Drama
373,s442,Movie,Joanna Hogg,2019,120.0,R,Drama
374,s443,TV Show,,2016,1.0,G,Kids
375,s444,Movie,Henry King,1952,113.0,13+,Action
376,s445,Movie,Aleksey Tsitsilin,2015,79.0,PG,Animation
377,s446,TV Show,,2005,1.0,TV-PG,Action
378,s447,TV Show,,2014,1.0,16+,TV Shows
379,s448,TV Show,,2020,1.0,18+,Comedy
380,s449,Movie,Jay Chapman,2014,69.0,18+,Arts
381,s450,TV Show,,2019,1.0,13+,Documentary
382,s451,Movie,Oceanic Research Group,2007,56.0,G,Documentary
383,s452,Movie,Jean van de Velde,2008,90.0,16+,Action
384,s453,Movie,Robin Pront,2020,95.0,R,Suspense
385,s454,Movie,Shawn Cunningham,2015,93.0,13+,Drama
386,s455,TV Show,,2014,1.0,13+,Documentary
387,s456,Movie,John Sayles,1995,102.0,PG,Drama
388,s457,Movie,Norman Z. McLeod,1947,111.0,13+,Comedy
389,s458,TV Show,,2006,4.0,13+,Drama
390,s459,Movie,"Elliot Weaver, Zander Weaver",2016,53.0,G,Documentary
391,s460,Movie,Carter Smith,2008,91.0,R,Horror
392,s461,TV Show,,2006,4.0,TV-PG,Comedy
393,s462,TV Show,,2018,4.0,TV-14,TV Shows
394,s464,Movie,Galt Neiderhoffer,2010,97.0,PG-13,Comedy
395,s465,TV Show,,2018,1.0,16+,Drama
396,s466,Movie,Hao Wu,2014,80.0,G,Documentary
397,s467,TV Show,,2019,1.0,13+,Special Interest
398,s469,Movie,Paul Schneider,2001,90.0,G,Comedy
399,s470,TV Show,,2018,1.0,13+,International
400,s472,Movie,Mario Andreacchio,1999,93.0,G,Action
401,s473,Movie,Henry Hathaway,1939,97.0,13+,Action
402,s474,Movie,Baeble Music,2007,48.0,NR,Music Videos and Concerts
403,s475,Movie,Howard Higgin,1929,66.0,NR,Action
404,s476,TV Show,,2012,1.0,G,Documentary
405,s477,Movie,Stephen Frears,2016,104.0,R,Drama
406,s478,TV Show,,2016,1.0,13+,Documentary
407,s479,Movie,Yen-Ping Chu,1990,97.0,R,Action
408,s480,TV Show,,2020,1.0,TV-14,Kids
409,s482,Movie,Neena Nejad and Xoel Pamos,2016,109.0,13+,Documentary
410,s483,Movie,Jimmy Henderson,2020,93.0,16+,Action
411,s485,TV Show,,2020,1.0,7+,Animation
412,s486,Movie,Rupert Julian,1925,79.0,13+,Horror
413,s487,Movie,Elizabeth Rohrbaugh,2013,84.0,13+,Documentary
414,s488,Movie,"Jefferson Moore, Shane Sooter",2006,86.0,G,Drama
415,s489,Movie,Mark Deimel,1988,89.0,13+,Comedy
416,s490,Movie,Simon Egan,2011,59.0,13+,Documentary
417,s491,TV Show,,2014,1.0,13+,TV Shows
418,s492,Movie,Harold Trompetero,2019,91.0,13+,Comedy
419,s493,Movie,Alan J. Pakula,1974,102.0,R,Drama
420,s494,TV Show,,2013,2.0,TV-PG,Drama
421,s495,TV Show,,2016,1.0,G,Documentary
422,s496,Movie,"Howard Kress, Harold F. Kress",1951,87.0,G,Adventure
423,s499,Movie,George McCowan,1970,74.0,13+,Comedy
424,s500,Movie,Timothy Woodward Jr.,2019,86.0,18+,Action
425,s501,Movie,Arther HIller,1970,97.0,G,Comedy
