show_id,type,title,director,release_year,rating,duration,listed_in,duration_int
s4400,Movie,Ann Rule's Too Late to Say Goodbye,Norma Bailey,2009,18+,89 min,"Drama, Suspense",89
s4401,Movie,All Joking Aside,Shannon Kohli,2020,18+,84 min,"Comedy, Drama",84
s4402,Movie,Adrift In Soho,Pablo Behrens,2020,16+,108 min,Drama,108
s4403,Movie,Acquainted,Natty Zavitz,2020,16+,102 min,"Drama, Romance",102
s4404,Movie,Aalo Chhaya,Anasuya Samanta,2014,13+,154 min,Romance,154
s4405,Movie,Wander,April Mullen,2020,R,93 min,"Action, Adventure, Suspense",93
s4406,Movie,Treasure Inn,Wong Jing,2011,13+,96 min,"Action, Comedy",96
s4407,Movie,Stranger in the House,Allan Harmon,2016,NR,87 min,Suspense,87
s4408,Movie,Six Ball,Chae Ki-jun,2020,13+,104 min,Drama,104
s4410,Movie,Plato's Reality Machine,Myles Sorensen,2013,18+,79 min,Science Fiction,79
s4411,TV Show,Pastel Yumi: The Magic Idol,,2020,7+,1 Season,"Animation, Comedy, Kids",1
s4412,Movie,On the Road to Berlin,Sergey Popov,2015,16+,86 min,"Action, Drama",86
s4413,Movie,Naa Katha,Ratnakar Peravali,2021,18+,85 min,"Drama, Suspense",85
s4414,Movie,Megaconda,Christopher Olen Ray,2010,16+,86 min,Action,86
s4415,Movie,Mean Man: The Story Of Chris Holmes,Antoine De Montremy,2021,16+,78 min,Documentary,78
s4416,Movie,Jana,Shaji Kailas,2004,G,161 min,"Action, Romance",161
s4417,Movie,Forget Me Not,"Alexander Holt, Lance Roehrig",2011,16+,92 min,"Drama, Romance",92
s4418,Movie,Dumb-ish,Azim Lateef,2015,18+,68 min,Comedy,68
s4419,Movie,Dead Or?,Kashmiere Rich,2021,16+,56 min,Suspense,56
s4420,TV Show,Concrete Jungle,,2021,TV-14,1 Season,"Arts, Entertainment, and Culture, Comedy, Drama",1
s4421,TV Show,Beautiful Reborn Flower,,2020,13+,1 Season,"Romance, Suspense",1
s4423,Movie,Ami Sudhu Cheyechhi Tomay,Ashok Pati,2014,13+,151 min,Romance,151
s4424,Movie,Yedu Chepala Kadha,Sam J Chaitanya,2019,18+,133 min,"Comedy, Horror",133
s4425,TV Show,Word of Honor,,2021,18+,2 Seasons,"Action, Drama, Romance",2
s4426,Movie,Time of Death,Frédéric D'Amours,2013,13+,94 min,Suspense,94
s4427,Movie,The Surface,Gil Cates Jr.,2014,16+,86 min,"Drama, Suspense",86
s4428,Movie,The Reef 2,"Mark A.Z Dippe, Taedong Park",2012,G,80 min,"Animation, Kids",80
s4429,Movie,The Making of America's Most Dangerous City,Thomas Freeman Jr,2020,18+,58 min,Documentary,58
s4430,Movie,The Haunting of Barney Palmer,Yvonne Mackay,1987,13+,55 min,"Drama, Science Fiction, Suspense",55
s4431,Movie,The Canterville Ghost,William F. Claxton,1985,13+,55 min,"Drama, Science Fiction",55
s4432,Movie,Switzerland,Sauvik Kundu,2020,13+,136 min,"Drama, Kids, Romance",136
s4433,Movie,Strangers,Chaitanya Reddy Vaka,2021,16+,41 min,Romance,41
s4434,Movie,Souvenir,Armond Cohen,2020,NR,107 min,Drama,107
s4438,Movie,Officer,Ram Gopal Varma,2018,13+,116 min,"Action, Drama, International",116
s4439,TV Show,Memories of Nanette,,2016,7+,1 Season,"Animation, Kids",1
s4440,Movie,Love Life & Pakodi,Jayanth Gali,2021,18+,115 min,Comedy,115
s4443,Movie,Jade,William Friedkin,1995,R,95 min,"Drama, Suspense",95
s4444,Movie,Hollywood North,Peter O'Brian,2004,18+,89 min,Comedy,89
s4445,Movie,He's Mine Not Yours,Roger Melvin,2011,16+,104 min,"Comedy, Drama",104
s4446,Movie,Five Little Babies Children's Songs in Indonesian - Bob the Train,USP Studios,2021,G,51 min,"Animation, Kids, Music Videos and Concerts",51
s4447,Movie,Everybody Changes,Arturo Montenegro,2020,18+,94 min,"Drama, LGBTQ",94
s4448,Movie,Dosar,Rituparno Ghosh,2006,13+,123 min,Romance,123
s4449,Movie,Discarded Lovers,"Fred Newmeyer, Fred C. Newmeyer",1932,18+,56 min,"Drama, Suspense",56
s4450,Movie,Devarakondalo Vijay Prema Katha,Ramana S. Venkat,2021,13+,133 min,"Comedy, Drama",133
s4451,Movie,Dark Seed,Michael Chuah,2020,18+,102 min,Horror,102
s4452,Movie,"Cryptopia: Bitcoin, Blockchains, and the Future of the Internet","Torsten Hoffmann, Michael Watchulonis",2020,13+,87 min,Documentary,87
s4453,Movie,Confession,Jonathan Meyers,2014,R,95 min,Suspense,95
s4454,Movie,Ashby,Tony McNamara,2015,R,103 min,"Comedy, Drama",103
s4455,Movie,6 Days,Toa Fraser,2017,R,94 min,"Action, Drama",94
s4456,Movie,22 Bullets,Richard Berry,2010,16+,118 min,"Action, Suspense",118
s4457,TV Show,Winx Club,,2015,G,1 Season,"Animation, Kids",1
s4458,Movie,Uncle Frank,Alan Ball,2020,R,95 min,"Comedy, Drama, LGBTQ",95
s4459,TV Show,Team Mendeleev,,2021,G,1 Season,Kids,1
s4460,Movie,Sweet Home Carolina,Charlie Vaughn,2017,7+,84 min,Drama,84
s4461,Movie,Safe Inside,Renata Gabryjelska,2021,18+,102 min,"Drama, Suspense",102
s4462,Movie,Parallel,Isaac Ezban,2020,16+,104 min,"Drama, Suspense",104
s4463,TV Show,Mike the Knight,,2014,TV-G,5 Seasons,"Animation, Kids",5
s4464,Movie,Left Behind: The Movie,Vic Sarin,2000,PG-13,100 min,"Action, Adventure, Faith and Spirituality",100
s4465,Movie,Kitty Mammas,Dennis Alexander Nicholson,2021,G,93 min,"Comedy, Drama",93
s4466,TV Show,Kelvin El Magnetico,,2014,TV-G,1 Season,TV Shows,1
s4467,Movie,Honey Boy,Alma Har’el,2019,18+,94 min,Drama,94
s4468,Movie,Girl/Girl Scene - The Movie,Tucky Williams,2019,16+,122 min,"Comedy, Drama",122
s4469,TV Show,Criaturas SOS,,2013,TV-PG,1 Season,Kids,1
s4470,Movie,Chemical Hearts,Richard Tanne,2020,R,93 min,Drama,93
s4471,Movie,Bryan Callen: Complicated Apes,Brian Volk-Weiss,2019,18+,59 min,"Comedy, Special Interest",59
s4474,Movie,7500,Patrick Vollrath,2020,R,93 min,"Drama, Suspense",93
s4475,Movie,Wetbacks,Hank McCune,1956,18+,87 min,Drama,87
s4476,Movie,Transgenders: Pakistan's Open Secret,Sharmeen Obaid-Chinoy,2011,16+,54 min,"Documentary, Special Interest",54
s4477,TV Show,The Supa Strikas,,2013,7+,3 Seasons,Kids,3
s4479,Movie,Secrets,Juwan Lee,2020,18+,111 min,Drama,111
s4481,Movie,Pataakha,Vishal Bhardwaj,2018,18+,131 min,"Comedy, Drama",131
s4482,Movie,One Child Nation,"Nanfu Wang, Jialing Zhang",2019,R,88 min,Documentary,88
s4483,Movie,Ocean to Sky,Michael Dillon,2020,7+,106 min,Documentary,106
s4484,Movie,Ninu Veedani Needanu Nene,Caarthik Raju,2019,13+,123 min,"Comedy, Drama, International",123
s4485,Movie,Mrs Pollifax Spy,Leslie H. Martinson,1971,13+,109 min,Comedy,109
s4486,Movie,Missing Mom,"Robert McCallum, Jordan C. Morris",2018,13+,85 min,"Documentary, Drama, Suspense",85
s4487,TV Show,LOL - Hasse toh Phasse,,2021,13+,1 Season,"Comedy, Unscripted",1
s4488,Movie,Hold,Frank Mosley,2009,18+,86 min,"Drama, Suspense",86
s4490,Movie,High Noon,Fred Zinnemann,1952,PG,85 min,"Drama, Suspense, Western",85
s4491,TV Show,Ethan The Dump Truck,,2019,G,2 Seasons,"Animation, Kids",2
s4492,Movie,Enakkoru Magan Pirappan,Keyaar,1996,G,146 min,"Comedy, Drama",146
s4493,Movie,Doug Stanhope's The Unbookables,Jeff Pearson,2017,18+,95 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",95
s4494,Movie,Do You Wanna Dance?,Michael Nickles,1999,13+,104 min,"Comedy, Romance",104
s4495,Movie,Copper Mountain,David Mitchell,1983,18+,60 min,Comedy,60
s4496,TV Show,Color Crew All About Colors,,2018,G,4 Seasons,"Animation, Kids",4
s4497,Movie,Anu Menon: Wonder Menon,Naveen Kumar M.N.,2019,16+,69 min,"Arts, Entertainment, and Culture",69
s4498,Movie,A Date With Murder,Rex Piano,2008,R,85 min,"Drama, Suspense",85
s4499,Movie,Raabta,Dinesh Vijan,2017,13+,144 min,"Drama, International, Romance",144
s4500,Movie,YO,Rafa Cortes,2007,PG-13,98 min,International,98
s4501,Movie,The Pilgrim's Progress,Robert Fernandez,2019,7+,118 min,"Animation, Drama, Kids",118
s4502,Movie,THE MAIDEN AND THE WOLVES,Gilles LeGrand,2008,PG-13,106 min,International,106
s4503,Movie,The Klansman,Terence Young,1974,R,101 min,Drama,101
s4504,Movie,TAXI BLUES,Pavel Lungin,1990,PG-13,105 min,International,105
s4505,Movie,Soulmate,Axelle Carolyn,2014,NR,104 min,"Drama, Horror",104
s4506,Movie,Saina,Amole Gupte,2021,G,134 min,"Drama, Sports",134
s4507,Movie,PERSECUTION,Patrice Chereau,2009,PG-13,99 min,International,99
s4508,Movie,Nene Raju Nene Mantri,Teja,2017,13+,151 min,"Drama, International",151
s4509,Movie,LOVE VERTIGO,Laurent Chouchan,2001,R,83 min,"Comedy, International",83
s4510,Movie,Live-In Maid (English Subtitled),Jorge Gaggero,2005,NR,83 min,"Comedy, Drama, International",83
s4511,Movie,LET THERE BE LIGHT,Arthur Joffe,1998,PG-13,101 min,"Comedy, International",101
s4512,Movie,LAST STOP PARADISE,Lucian Pintille,1998,PG-13,96 min,International,96
s4513,Movie,Jack And The Beanstalk,Jean Yarbrough,1952,G,82 min,Comedy,82
s4514,Movie,Interlude,Herve Bodilis,2016,R,95 min,"Comedy, International",95
s4515,Movie,In the Arms of My Enemy,Micha Wald,2007,R,83 min,"Drama, International",83
